STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WESD,WSF1,WSF2,WSF5,WSFG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01,WV03
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",4/10/1990,90,100,9.17,1650,1426,0.08,0,0,,64,47,,170,,,180,,21.9,,,28.9,,,,,,,,,,,,,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",4/11/1990,50,60,12.53,1450,1448,0,0,0,,60,37,,290,,,270,,23,,,34.4,,,,,,,,,,,,,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",4/12/1990,30,40,11.86,1450,825,0,0,0,,49,31,,290,,,270,,21,,,30,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",4/13/1990,40,40,6.49,1850,1755,0,0,0,,59,25,,150,,,135,,12.1,,,18.3,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",4/14/1990,80,70,9.17,1150,1309,0.12,0,0,,67,43,,160,,,180,,21.9,,,28.9,,,1,,,,,,,,,,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",4/15/1990,80,70,4.47,1850,1820,0,0,0,,71,50,,290,,,315,,8.9,,,17.2,1,,,,,,,,,,,,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",4/16/1990,50,40,6.71,1550,1702,0,0,0,,73,48,,150,,,135,,13,,,16.1,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",4/17/1990,60,100,11.86,1750,1727,0,0,0,,70,40,,270,,,270,,21,,,34.4,,,,,,,,,,,,,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",4/18/1990,20,40,6.93,1850,113,0,0,0,,59,34,,150,,,360,,12.1,,,19.5,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",4/19/1990,50,50,7.61,1350,1604,0,0,0,,62,31,,160,,,135,,16.1,,,20.8,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",4/20/1990,80,80,6.26,1750,1812,0,0,0,,75,49,,160,,,180,,13,,,17.2,,,,,,,,,,,,,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",4/21/1990,90,100,6.04,1256,1253,0.25,0,0,,67,53,,340,,,315,,14.1,,,19.5,,,,,,,,,,,,,,1,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",4/22/1990,0,10,5.14,1850,1740,0,0,0,,76,44,,150,,,135,,12.1,,,15,1,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",4/23/1990,20,20,4.7,1850,1714,0,0,0,,84,46,,140,,,90,,8.9,,,15,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",4/24/1990,20,20,6.04,1250,1242,0,0,0,,87,55,,310,,,315,,10.1,,,19.5,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",4/25/1990,30,30,6.93,1450,1432,0,0,0,,89,57,,270,,,270,,13,,,19.5,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",4/26/1990,20,30,4.7,1650,1317,0,0,0,,90,59,,190,,,180,,8.1,,,10.3,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",4/27/1990,30,20,5.14,1650,1639,0,0,0,,90,59,,160,,,180,,15,,,19.5,,,,,,,,,,,,,,,,,,,,,
USW00013741,"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US",4/28/1990,80,100,7.16,2150,2129,0.35,0,0,,74,53,,210,,,225,,16.1,,,32.2,,,,,,,,,,,,,,1,,,,,,,
